paperID,imageID,size,uncertainty
,2013T14,,3
2013T14,10.1109@TVCG.2013.127,,8
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_01_T14.jpg,2054592,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_02_T14.jpg,1407663,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_03_T14.jpg,1114140,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_04_T14.jpg,3611856,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_05_T14.jpg,2008992,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_06_T14.jpg,1475976,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_07_T14.jpg,1187340,1
10.1109@TVCG.2013.127,10.1109@TVCG.2013.127_08_08_T14.jpg,873120,1
2013T14,10.1109@TVCG.2013.163,,13
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_01_T14.jpg,2189094,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_02_T14.jpg,841350,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_03_T14.jpg,718707,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_04_T14.jpg,905100,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_05_T14.jpg,823680,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_06_T14.jpg,792396,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_07_T14.jpg,1234032,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_08_T14.jpg,1796985,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_09_T14.jpg,3638544,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_10_T14.jpg,1773111,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_11_T14.jpg,1782960,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_12_T14.jpg,1014897,1
10.1109@TVCG.2013.163,10.1109@TVCG.2013.163_13_13_T14.jpg,856728,1
2013T14,10.1109@TVCG.2013.198,,8
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_01_T17.jpg,4241616,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_02_T17.jpg,1036035,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_03_T17.jpg,824274,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_04_T17.jpg,395472,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_05_T17.jpg,2151684,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_06_T17.jpg,4317984,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_07_T17.jpg,4298163,1
10.1109@TVCG.2013.198,10.1109@TVCG.2013.198_08_08_T17.jpg,4238883,1
